age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative
Under 65,Yes,Graduated from college,Less enthusiastic,Don't know,Male,Book of fables,Disagree,Can't be too careful,prolific_b25ad7e6d6807cff1af80eca210a1d4bc4efddcd8ab602a4c43dd279,"Between $15,000 and $49,999",Another county in Georgia,,Other,Don't know / Not sure,No,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Don’t know / not sure,Agree,Rural,Don't know
Under 65,No,"Some college, no degree",More enthusiastic,Agree,Female,Book of fables,Agree,Can't be too careful,prolific_7138b40414004920986e4001c5a975ad5d80aa8735935388a64ec6b4,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,No,Online,Other,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Probably Yes,Agree,Suburban,Don't know
Under 65,Yes,"Some college, no degree",Less enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_af91808ad946125e7adc8735dfd30631bc9171d35807257256a13b4b,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
65+,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Inspired word,Don't know,Can trust,prolific_4ae0d27f1265276256f02b26f21e92c46e1d3e9d3edfdf052d648530,"Between $15,000 and $49,999",Another county in Georgia,,"Black, non-Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Don't know
Under 65,No,Graduated from college,More enthusiastic,Disagree,Female,Book of fables,Disagree,Don't know,prolific_66234298856e74e33284a85faa79b3c262c619e0203f902e99a42897,"Between $75,000 and $99,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Some,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,Completed graduate school,Less enthusiastic,Disagree,Male,Book of fables,Agree,Can't be too careful,prolific_2d405243c676f2e8b99fd77808183eddf230ccb103db89ed5c893e30,"Between $100,000 and $150,000","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Unsure,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,No,Probably No,Disagree,Suburban,Disagree
Under 65,No,Graduated from high school,More enthusiastic,Don't know,Male,Book of fables,Disagree,Can trust,prolific_babe81a18e607501d9a06d6cb015e5b25d70f3fe45166aac7a505fa6,"Between $50,000 and $74,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree
Under 65,Yes,Completed graduate school,More enthusiastic,Agree,Male,Word of God,Agree,Can trust,prolific_cbb8882d7103b51fe6408cea579aa5d66d970bf98c7aa4a53a36a98d,"Between $75,000 and $99,999",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Agree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Some,No,Probably Yes,Agree,Suburban,Agree
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_1644e0ce22adf302faf68b02876ab16f42fb6d19fc926a03b2c01991,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Quite a lot,No,Probably No,Disagree,Rural,Disagree
Under 65,No,Graduated from college,More enthusiastic,Agree,Female,Inspired word,Disagree,Can't be too careful,prolific_5924c310b7786a1894c7fd1ef81e288777b7aa40151b96e5bb94b827,"Between $15,000 and $49,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,Yes,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Urban,Don't know
Under 65,No,Graduated from college,Less enthusiastic,Disagree,Female,Inspired word,Don't know,Can trust,prolific_451e5c01de65eb40740a5af6a8c034280f6e5b8243ba4271cf068034,"Between $75,000 and $99,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Joe Biden,No,Online,Other,Donald Trump,Absentee by mail,Undecided,Undecided,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Definitely Yes,Disagree,Suburban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Disagree,Male,Book of fables,Agree,Can't be too careful,prolific_6f6fc6772a1b53cad70bf4a513dffdb3eea59ee35a6bed327a8a03df,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Rural,Disagree
Under 65,No,"Some college, no degree",Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,prolific_771018cb36019acda657066de63f045d3cd46658ce80359faf89bcac,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,Yes,No,No,Closer to Alabama,Closer to Florida,Some,Don’t know / not sure,Probably No,Don't know,Suburban,Don't know
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,prolific_a757a024d21ce5524c5fa13579faead1d0d499d3b347eb65ca922ac0,"Between $15,000 and $49,999","DeKalb County, GA",Very likely,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Don't know,Yes,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Urban,Agree
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Male,Word of God,Disagree,Can trust,prolific_d6856978bede3a9017e4f1231f783b8709f07174b0d44749c34c1a65,"Over $150,000","DeKalb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Agree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Urban,Disagree
Under 65,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can't be too careful,prolific_95d8277a981f381b7ae6bc9388eb6bb270c0917e0f0f31ba079b4a6a,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,Completed graduate school,More enthusiastic,Disagree,Female,Inspired word,Disagree,Can't be too careful,prolific_b6f4e499dc0b9eebec8a0aa55692e985339049dba63022158e067fb3,"Over $150,000",Another county in Georgia,,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,No,Probably No,Disagree,Suburban,Disagree
Under 65,No,"Some college, no degree",About the same,Don't know,Female,Book of fables,Disagree,Can trust,prolific_8966c29a2bf375ee907f1fad9bac12b251d77b1ffaee290310e09ab1,"Under $15,000","DeKalb County, GA",Very likely,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,Graduated from college,About the same,Agree,Male,Word of God,Don't know,Can't be too careful,prolific_578326871c316005ff34ad3cf80fa49b74ada33a85bd8ac2a85ba241,"Between $15,000 and $49,999","Cobb County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Agree,No,No,No,Closer to Alabama,Closer to Florida,Some,No,Probably Yes,Agree,Urban,Don't know
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Male,Book of fables,Don't know,Can't be too careful,prolific_459503250ad35d3f0a2f9af44955cb5f57b2a711bbf6c8e23483ecfa,"Between $15,000 and $49,999","Cobb County, GA",,Other,Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Don't know
Under 65,Unsure,Graduated from college,About the same,Agree,Female,Book of fables,Agree,Can't be too careful,prolific_739d203161ca9dc4782f62e02f17d4fbabc7fb4c62b2612b9e8e3c20,"Between $50,000 and $74,999","Cobb County, GA",Somewhat likely,Other,Joe Biden,No,Online,Did not vote,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Probably Yes,Agree,Suburban,Don't know
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Disagree,Can trust,prolific_8e256faafe118e9fb0e4bea3fc89bd6428ca792d836d555041aad979,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Don't know,Rural,Don't know
Under 65,No,"Some college, no degree",About the same,Don't know,Female,Inspired word,Don't know,Can't be too careful,prolific_c08848d81f38b45a2b755ae1330bf41e3cb4736d68540f97226821b7,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Some,Yes,Probably Yes,Disagree,Urban,Disagree
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can't be too careful,prolific_44b3864455c3bf0d06b67489e11247212681915a5ee4bddfffd59471,"Between $50,000 and $74,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Definitely Yes,Don't know,Urban,Disagree
Under 65,Yes,"Some college, no degree",About the same,Don't know,Female,Book of fables,Don't know,Can't be too careful,prolific_eb3493ada0880e74cb8d7d606098abbfc4200213def54f889ddca127,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to South Carolina,Closer to Florida,Some,Yes,Probably Yes,Don't know,Suburban,Don't know
Under 65,No,Graduated from college,Less enthusiastic,Agree,Male,Word of God,Agree,Can trust,prolific_86aaa364ea85dcffa098b75e569f8194f4b70effe5c04be5db44ba4b,"Between $75,000 and $99,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Agree,No,No,Yes,Closer to South Carolina,Closer to Florida,Some,No,Probably Yes,Agree,Urban,Agree
Under 65,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Inspired word,Agree,Can't be too careful,prolific_075b5d807cf0cb94db07183b9c78b3ae601bc60afc202fdf56c29acb,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Don't know
Under 65,No,Completed graduate school,More enthusiastic,Disagree,Male,Book of fables,Disagree,Can trust,prolific_554a2d552f2827aa8ccdcb07d3b4036b451442e57b884697d5faac59,"Between $15,000 and $49,999","DeKalb County, GA",Very likely,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Disagree,Suburban,Disagree
Under 65,Yes,Graduated from college,More enthusiastic,Agree,Female,Book of fables,Disagree,Can't be too careful,prolific_88f17907aa8c359c02a4eb1d89032384d874b1b9ed2ac1218a64e2bb,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Agree,Rural,Disagree
Under 65,No,"Some college, no degree",About the same,Disagree,Male,Word of God,Agree,Can't be too careful,prolific_10643d22db9df8068699a7c879e8accc21f149a0c6d26a9463456b17,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Donald Trump,No,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Some,No,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,Graduated from college,About the same,Don't know,Female,Inspired word,Don't know,Can't be too careful,prolific_166c6a71363d316599dcaa94d3e18c1a6dbd8c3c5256c79685722782,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,No,Probably No,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",Less enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,prolific_681298324c08d63266848dc6c6880a4f625ee03f8b9527cf0a8b57cc,"Under $15,000","Cobb County, GA",Very likely,Other,Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Book of fables,Disagree,Can't be too careful,prolific_2c784271cfadbb08e50e055fb1f3bb314211f30157b785afb00b41eb,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,No,Definitely No,Disagree,Suburban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Male,Book of fables,Disagree,Can trust,prolific_03d1f0e514261ded2e2343ba8503f2c9fae6caac51aee708cd7a1aec,"Under $15,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Other,Joe Biden,Absentee by mail,Jon Ossoff,Undecided,Disagree,No,Yes,No,Closer to Alabama,Closer to Tennessee,Some,Yes,Probably Yes,Agree,Suburban,Agree
Under 65,No,Graduated from high school,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_1b12ac80670d5a4a7fbc40c290846bd0bd895acb41910f04e18b95c8,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Don't know,Urban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Male,Book of fables,Disagree,Can't be too careful,prolific_b54d3313ccbd163b1c314b0b28097714b6ed87f4e16ae82a342be465,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,No,No,Yes,Closer to South Carolina,Closer to Florida,Only a little,No,Probably No,Disagree,Rural,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Disagree,Can trust,prolific_6ee49cf7083c996cd3fa6685b1bcf99e8cc6d932de83a2e17926fd94,"Between $15,000 and $49,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Agree
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Male,Inspired word,Agree,Can't be too careful,prolific_e2323c545e3d2be73561e369a43105db764712ae59ffaca18af02f2f,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Don't know,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Don’t know / not sure,Probably No,Don't know,Suburban,Disagree
Under 65,No,Graduated from college,More enthusiastic,Disagree,Female,Book of fables,Disagree,Can't be too careful,prolific_514a188ca4ad1c50fcfcd286d054ed4cb52547ca83cc86931b8ee290,"Between $15,000 and $49,999","DeKalb County, GA",Very likely,Other,Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Agree,Can't be too careful,prolific_5b78fa6f392411195fe0958dc1cb010b637436ee621a2d75e38ea5d9,"Between $15,000 and $49,999","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",Less enthusiastic,Don't know,Male,Inspired word,Disagree,Can't be too careful,prolific_acb4bf2e5d406091c445d57aea427aebd81059553931c819b770e66a,"Between $50,000 and $74,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Other,Early vote in person,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,"Some college, no degree",About the same,Disagree,Male,Inspired word,Agree,Can trust,prolific_af4560982d49df66f47c3537554cac24fe342894470cc073ca4fc980,"Between $75,000 and $99,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Probably No,Disagree,Suburban,Disagree
Under 65,No,Graduated from college,Less enthusiastic,Disagree,Male,Word of God,Agree,Can't be too careful,prolific_7dd576c1e9f46e00477a769d8d3a06141d689e9c8deed3bd683a2c74,"Between $50,000 and $74,999","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Only a little,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,"Some college, no degree",About the same,Don't know,Female,Inspired word,Don't know,Can't be too careful,prolific_1e807e12ec87d88a3b6e096b771f6be8289a9197cb7c3039588a12a4,"Under $15,000","Fulton County, GA",Very likely,Other,Joe Biden,Yes,Online,Did not vote,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Some,Yes,Definitely Yes,Don't know,Suburban,Don't know
Under 65,Yes,Graduated from college,More enthusiastic,Disagree,Female,Book of fables,Agree,Can't be too careful,prolific_b00005113d8f06182aa8207cf4c13c0dbe14faecac7a2911c25d56d3,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Rural,Disagree
Under 65,No,"Some college, no degree",Less enthusiastic,Don't know,Female,Book of fables,Don't know,Can't be too careful,prolific_7bad2a344043c6f9ee4e755cd95972cb97f669eccacd3af6cda38f33,"Between $15,000 and $49,999",Another county in Georgia,,"Black, non-Hispanic",Don't know / Not sure,No,Online,Did not vote,Other,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Rural,Disagree
Under 65,No,Completed graduate school,About the same,Don't know,Male,Book of fables,Don't know,Can trust,prolific_e2a16c77f8d5c7a9ac3ed85c999ad3d0207b5452d1253895ea975986,"Between $50,000 and $74,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Agree,No,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Urban,Don't know
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,prolific_374f83a79bf271aef83f14e8441f7b747b9ee323a8a10949b1655420,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Undecided,Raphael Warnock,Disagree,Yes,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Don't know
Under 65,No,Graduated from college,More enthusiastic,Disagree,Male,Book of fables,Disagree,Can trust,prolific_20f286beec005e2abd11007dcb62682729d96b0a4261ffa81fb6dbbf,"Between $75,000 and $99,999","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,Yes,Completed graduate school,About the same,Agree,Female,Book of fables,Disagree,Can trust,prolific_f4a7b282f29fef6a8b09a64e7c37d836decfaad0696cbe597ac4b93e,"Under $15,000","DeKalb County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,prolific_2812ce40b7508fb328dbeace8e1dc55ec399ce40527b6310728670b9,"Over $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Disagree,Female,Book of fables,Disagree,Can trust,prolific_9e2edbf066addf9ab4b802d57a3d8ce50daba9602e5ce911bd1398a8,"Under $15,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree
Under 65,No,Graduated from college,More enthusiastic,Agree,Female,Inspired word,Disagree,Can trust,prolific_65e26c131ecbc19cf821b3298029f6e6f4e1d8589ddca2404a5d84a9,"Over $150,000","Fulton County, GA",Very likely,Other,Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Urban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Agree,Male,Inspired word,Agree,Can trust,prolific_518b80e11a69594ed897abc94f60247feb88ac5bff4cfe8a291eefdd,"Between $15,000 and $49,999",Another county in Georgia,Very likely,Hispanic,Donald Trump,No,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Yes,No,Unsure,Closer to Alabama,Closer to Florida,Quite a lot,No,Probably Yes,Disagree,Rural,Disagree
Under 65,No,Graduated from high school,About the same,Don't know,Female,Book of fables,Disagree,Can't be too careful,prolific_ee560a42daf290d056b7fa5e69ef9e654387c2e986db73117a6c889d,"Under $15,000",Another county in Georgia,,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Don't know
Under 65,Yes,Graduated from college,About the same,Disagree,Male,Book of fables,Disagree,Can't be too careful,prolific_9d63484c16ef7bdaf745ca6d7b10854cdf4d83b321111834493595c4,"Between $50,000 and $74,999","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Other,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Definitely Yes,Disagree,Urban,Disagree
Under 65,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,prolific_df73aece71ea7ab38d0fb2b2702ca6d8604c5c6167d1469c9a8e6dc0,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Unsure,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Probably Yes,Don't know,Suburban,Agree
